"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/05/24 20:03:00,-888.88,24.09,21.56,19.97
01/05/24 20:04:00,-888.88,24.03,21.54,20.04
01/05/24 20:05:00,-888.88,23.98,21.45,19.99
01/05/24 20:06:00,-888.88,23.94,21.46,19.96
01/05/24 20:07:00,-888.88,23.86,21.41,19.95
01/05/24 20:08:00,-888.88,23.81,21.41,19.94
01/05/24 20:09:00,-888.88,23.75,21.37,19.91
01/05/24 20:10:00,-888.88,23.80,21.33,19.91
01/05/24 20:11:00,-888.88,23.82,21.38,19.97
01/05/24 20:12:00,-888.88,23.68,21.31,19.94
01/05/24 20:13:00,-888.88,23.58,21.30,19.85
01/05/24 20:14:00,-888.88,23.46,21.23,19.79
01/05/24 20:15:00,-888.88,23.45,21.21,19.76
01/05/24 20:16:00,-888.88,23.47,21.24,19.78
01/05/24 20:17:00,-888.88,23.44,21.23,19.75
01/05/24 20:18:00,-888.88,23.45,21.13,19.75
01/05/24 20:19:00,-888.88,23.37,21.15,19.72
01/05/24 20:20:00,-888.88,23.32,21.10,19.69
01/05/24 20:21:00,-888.88,23.34,21.09,19.71
01/05/24 20:22:00,-888.88,23.11,21.03,19.57
01/05/24 20:23:00,-888.88,23.04,21.05,19.55
01/05/24 20:24:00,-888.88,23.17,21.02,19.55
01/05/24 20:25:00,-888.88,23.17,20.89,19.57
01/05/24 20:26:00,-888.88,23.17,20.87,19.57
01/05/24 20:27:00,-888.88,23.15,20.87,19.51
01/05/24 20:28:00,-888.88,23.21,20.84,19.63
01/05/24 20:29:00,-888.88,22.97,20.78,19.52
01/05/24 20:30:00,-888.88,23.00,20.85,19.55
01/05/24 20:31:00,-888.88,22.99,20.80,19.59
01/05/24 20:32:00,-888.88,22.96,20.77,19.59
01/05/24 20:33:00,-888.88,22.94,20.76,19.58
01/05/24 20:34:00,-888.88,22.91,20.79,19.55
01/05/24 20:35:00,-888.88,22.84,20.72,19.52
01/05/24 20:36:00,-888.88,22.82,20.70,19.48
01/05/24 20:37:00,-888.88,22.74,20.65,19.46
01/05/24 20:38:00,-888.88,22.79,20.68,19.54
01/05/24 20:39:00,-888.88,22.68,20.66,19.44
01/05/24 20:40:00,-888.88,22.70,20.63,19.48
01/05/24 20:41:00,-888.88,22.70,20.59,19.41
01/05/24 20:42:00,-888.88,22.65,20.60,19.37
01/05/24 20:43:00,-888.88,22.60,20.56,19.42
01/05/24 20:44:00,-888.88,22.60,20.56,19.47
01/05/24 20:45:00,-888.88,22.69,20.48,19.42
01/05/24 20:46:00,-888.88,22.51,20.57,19.38
01/05/24 20:47:00,-888.88,22.56,20.48,19.39
01/05/24 20:48:00,-888.88,22.51,20.51,19.33
01/05/24 20:49:00,-888.88,22.37,20.48,19.37
01/05/24 20:50:00,-888.88,22.45,20.39,19.31
01/05/24 20:51:00,-888.88,22.47,20.38,19.32
01/05/24 20:52:00,-888.88,22.37,20.35,19.30
01/05/24 20:53:00,-888.88,22.39,20.40,19.26
01/05/24 20:54:00,-888.88,22.28,20.34,19.28
01/05/24 20:55:00,-888.88,22.27,20.28,19.29
01/05/24 20:56:00,-888.88,22.22,20.36,19.23
01/05/24 20:57:00,-888.88,22.22,20.23,19.27
01/05/24 20:58:00,-888.88,22.16,20.31,19.23
01/05/24 20:59:00,-888.88,22.12,20.20,19.17
01/05/24 21:00:00,-888.88,22.09,20.22,19.19
01/05/24 21:01:00,-888.88,22.05,20.17,19.07
01/05/24 21:02:00,-888.88,22.00,20.18,19.04
01/05/24 21:03:00,-888.88,22.05,20.11,19.04
01/05/24 21:04:00,-888.88,22.01,20.12,19.06
01/05/24 21:05:00,-888.88,21.97,20.16,19.09
01/05/24 21:06:00,-888.88,21.94,20.13,19.00
01/05/24 21:07:00,-888.88,21.85,20.04,18.99
01/05/24 21:08:00,-888.88,21.85,20.04,18.96
