"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3C)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
01/05/24 22:14:00,20.88,20.16,18.46,17.49
01/05/24 22:15:00,20.81,20.13,18.45,17.47
01/05/24 22:16:00,20.79,20.15,18.39,17.54
01/05/24 22:17:00,20.78,20.09,18.44,17.57
01/05/24 22:18:00,20.74,20.12,18.44,17.58
01/05/24 22:19:00,20.74,20.07,18.47,17.62
01/05/24 22:20:00,20.69,20.04,18.42,17.64
01/05/24 22:21:00,20.66,20.08,18.43,17.66
01/05/24 22:22:00,20.68,20.06,18.43,17.72
01/05/24 22:23:00,20.63,20.05,18.43,17.81
01/05/24 22:24:00,20.62,20.04,18.48,17.84
01/05/24 22:25:00,20.59,20.00,18.44,17.86
01/05/24 22:26:00,20.60,19.99,18.51,17.92
01/05/24 22:27:00,20.54,20.09,18.51,17.91
01/05/24 22:28:00,20.49,20.04,18.54,17.96
01/05/24 22:29:00,20.51,19.99,18.56,18.06
01/05/24 22:30:00,20.51,19.98,18.57,18.06
01/05/24 22:31:00,20.47,19.97,18.64,18.10
01/05/24 22:32:00,20.48,20.00,18.65,18.14
01/05/24 22:33:00,20.46,20.04,18.66,18.12
01/05/24 22:34:00,20.43,20.01,18.67,18.21
01/05/24 22:35:00,20.47,20.03,18.71,18.25
01/05/24 22:36:00,20.43,19.97,18.72,18.27
01/05/24 22:37:00,20.42,19.96,18.74,18.30
01/05/24 22:38:00,20.41,20.01,18.74,18.33
01/05/24 22:39:00,20.44,20.03,18.81,18.38
01/05/24 22:40:00,20.41,20.00,18.80,18.38
01/05/24 22:41:00,20.40,20.03,18.84,18.41
01/05/24 22:42:00,20.40,20.03,18.84,18.39
01/05/24 22:43:00,20.35,20.03,18.91,18.44
01/05/24 22:44:00,20.37,20.01,18.90,18.43
01/05/24 22:45:00,20.38,20.02,18.93,18.43
01/05/24 22:46:00,20.36,20.05,18.91,18.48
01/05/24 22:47:00,20.36,20.04,18.94,18.48
01/05/24 22:48:00,20.34,20.00,18.94,18.49
01/05/24 22:49:00,20.37,19.99,18.95,18.54
01/05/24 22:50:00,20.33,20.02,18.96,18.55
01/05/24 22:51:00,20.31,20.02,19.05,18.59
01/05/24 22:52:00,20.32,20.04,19.03,18.54
01/05/24 22:53:00,20.32,20.02,18.98,18.58
01/05/24 22:54:00,20.33,20.03,19.02,18.56
01/05/24 22:55:00,20.29,20.01,19.04,18.60
01/05/24 22:56:00,20.34,20.00,19.04,18.64
01/05/24 22:57:00,20.33,20.03,19.06,18.65
01/05/24 22:58:00,20.29,19.99,19.05,18.63
